File Name			NS_miRQC2
Description			
Sample ID			2
Owner			NS
Sample Date			7/25/2012
File Version			1.7
Gene RLF			NS_H_MIR_V2
Comments			sample2
Lane ID			2
FOV Count			280
FOV Counted			280
Scanner ID			KB0006
Stage Position			6
Binding Density			0.54
Messages			
Endogenous1	hsa-let-7a-5p	MIMAT0000062	23713
Endogenous1	hsa-let-7b-5p	MIMAT0000063	4490
Endogenous1	hsa-let-7c	MIMAT0000064	2314
Endogenous1	hsa-let-7d-5p	MIMAT0000065	667
Endogenous1	hsa-let-7e-5p	MIMAT0000066	978
Endogenous1	hsa-let-7f-5p	MIMAT0000067	3345
Endogenous1	hsa-let-7g-5p	MIMAT0000414	8339
Endogenous1	hsa-let-7i-5p	MIMAT0000415	817
Endogenous1	hsa-miR-1	MIMAT0000416	3579
Endogenous1	hsa-miR-100-5p	MIMAT0000098	903
Endogenous1	hsa-miR-101-3p	MIMAT0000099	36
Endogenous1	hsa-miR-103a-3p	MIMAT0000101	13
Endogenous1	hsa-miR-105-5p	MIMAT0000102	22
Endogenous1	hsa-miR-106a-5p+hsa-miR-17-5p	MIMAT0000103	1435
Endogenous1	hsa-miR-106b-5p	MIMAT0000680	466
Endogenous1	hsa-miR-107	MIMAT0000104	621
Endogenous1	hsa-miR-10a-5p	MIMAT0000253	82
Endogenous1	hsa-miR-10b-5p	MIMAT0000254	127
Endogenous1	hsa-miR-1178	MIMAT0005823	12
Endogenous1	hsa-miR-1179	MIMAT0005824	6
Endogenous1	hsa-miR-1180	MIMAT0005825	34
Endogenous1	hsa-miR-1181	MIMAT0005826	12
Endogenous1	hsa-miR-1182	MIMAT0005827	5
Endogenous1	hsa-miR-1183	MIMAT0005828	27
Endogenous1	hsa-miR-1184	MIMAT0005829	4
Endogenous1	hsa-miR-1185-5p	MIMAT0005798	25
Endogenous1	hsa-miR-1193	MIMAT0015049	28
Endogenous1	hsa-miR-1197	MIMAT0005955	21
Endogenous1	hsa-miR-1200	MIMAT0005863	5
Endogenous1	hsa-miR-1202	MIMAT0005865	21
Endogenous1	hsa-miR-1203	MIMAT0005866	13
Endogenous1	hsa-miR-1204	MIMAT0005868	11
Endogenous1	hsa-miR-1205	MIMAT0005869	5
Endogenous1	hsa-miR-1206	MIMAT0005870	33
Endogenous1	hsa-miR-1207-3p	MIMAT0005872	6
Endogenous1	hsa-miR-1208	MIMAT0005873	16
Endogenous1	hsa-miR-122-5p	MIMAT0000421	838
Endogenous1	hsa-miR-1224-3p	MIMAT0005459	2
Endogenous1	hsa-miR-1224-5p	MIMAT0005458	15
Endogenous1	hsa-miR-1225-3p	MIMAT0005573	13
Endogenous1	hsa-miR-1225-5p	MIMAT0005572	17
Endogenous1	hsa-miR-1226-3p	MIMAT0005577	24
Endogenous1	hsa-miR-1227	MIMAT0005580	10
Endogenous1	hsa-miR-1228-3p	MIMAT0005583	18
Endogenous1	hsa-miR-1229	MIMAT0005584	15
Endogenous1	hsa-miR-1231	MIMAT0005586	4
Endogenous1	hsa-miR-1233	MIMAT0005588	71
Endogenous1	hsa-miR-1234	MIMAT0005589	32
Endogenous1	hsa-miR-1236	MIMAT0005591	14
Endogenous1	hsa-miR-1237	MIMAT0005592	5
Endogenous1	hsa-miR-1238	MIMAT0005593	15
Endogenous1	hsa-miR-124-3p	MIMAT0000422	1432
Endogenous1	hsa-miR-1243	MIMAT0005894	7
Endogenous1	hsa-miR-1244	MIMAT0005896	10
Endogenous1	hsa-miR-1245a	MIMAT0005897	5
Endogenous1	hsa-miR-1245b-3p	MIMAT0019951	10
Endogenous1	hsa-miR-1245b-5p	MIMAT0019950	13
Endogenous1	hsa-miR-1246	MIMAT0005898	102
Endogenous1	hsa-miR-1247-5p	MIMAT0005899	62
Endogenous1	hsa-miR-1248	MIMAT0005900	10
Endogenous1	hsa-miR-1249	MIMAT0005901	12
Endogenous1	hsa-miR-1250	MIMAT0005902	13
Endogenous1	hsa-miR-1251	MIMAT0005903	13
Endogenous1	hsa-miR-1252	MIMAT0005944	19
Endogenous1	hsa-miR-1253	MIMAT0005904	18
Endogenous1	hsa-miR-1254	MIMAT0005905	5
Endogenous1	hsa-miR-1255a	MIMAT0005906	9
Endogenous1	hsa-miR-1255b-5p	MIMAT0005945	5
Endogenous1	hsa-miR-1256	MIMAT0005907	11
Endogenous1	hsa-miR-1257	MIMAT0005908	12
Endogenous1	hsa-miR-1258	MIMAT0005909	13
Endogenous1	hsa-miR-125a-3p	MIMAT0004602	25
Endogenous1	hsa-miR-125a-5p	MIMAT0000443	1555
Endogenous1	hsa-miR-125b-5p	MIMAT0000423	29712
Endogenous1	hsa-miR-126-3p	MIMAT0000445	2839
Endogenous1	hsa-miR-1260a	MIMAT0005911	189
Endogenous1	hsa-miR-1260b	MIMAT0015041	35
Endogenous1	hsa-miR-1261	MIMAT0005913	11
Endogenous1	hsa-miR-1262	MIMAT0005914	21
Endogenous1	hsa-miR-1263	MIMAT0005915	6
Endogenous1	hsa-miR-1264	MIMAT0005791	10
Endogenous1	hsa-miR-1265	MIMAT0005918	20
Endogenous1	hsa-miR-1266	MIMAT0005920	14
Endogenous1	hsa-miR-1267	MIMAT0005921	5
Endogenous1	hsa-miR-1268a	MIMAT0005922	33
Endogenous1	hsa-miR-1268b	MIMAT0018925	9
Endogenous1	hsa-miR-1269a	MIMAT0005923	22
Endogenous1	hsa-miR-1269b	MIMAT0019059	4
Endogenous1	hsa-miR-127-3p	MIMAT0000446	188
Endogenous1	hsa-miR-127-5p	MIMAT0004604	5
Endogenous1	hsa-miR-1270	MIMAT0005924	28
Endogenous1	hsa-miR-1271-5p	MIMAT0005796	13
Endogenous1	hsa-miR-1272	MIMAT0005925	8
Endogenous1	hsa-miR-1273a	MIMAT0005926	39
Endogenous1	hsa-miR-1273c	MIMAT0015017	14
Endogenous1	hsa-miR-1273d	MIMAT0015090	14
Endogenous1	hsa-miR-1273e	MIMAT0018079	6
Endogenous1	hsa-miR-1273f	MIMAT0020601	6
Endogenous1	hsa-miR-1273g-5p	MIMAT0020602	13
Endogenous1	hsa-miR-1275	MIMAT0005929	23
Endogenous1	hsa-miR-1276	MIMAT0005930	8
Endogenous1	hsa-miR-1277-3p	MIMAT0005933	8
Endogenous1	hsa-miR-1278	MIMAT0005936	14
Endogenous1	hsa-miR-1279	MIMAT0005937	14
Endogenous1	hsa-miR-128	MIMAT0000424	1262
Endogenous1	hsa-miR-1280	MIMAT0005946	6
Endogenous1	hsa-miR-1281	MIMAT0005939	14
Endogenous1	hsa-miR-1282	MIMAT0005940	6
Endogenous1	hsa-miR-1283	MIMAT0005799	1
Endogenous1	hsa-miR-1284	MIMAT0005941	13
Endogenous1	hsa-miR-1285-3p	MIMAT0005876	9
Endogenous1	hsa-miR-1286	MIMAT0005877	15
Endogenous1	hsa-miR-1287	MIMAT0005878	28
Endogenous1	hsa-miR-1288	MIMAT0005942	16
Endogenous1	hsa-miR-1289	MIMAT0005879	7
Endogenous1	hsa-miR-129-2-3p	MIMAT0004605	428
Endogenous1	hsa-miR-129-5p	MIMAT0000242	63
Endogenous1	hsa-miR-1290	MIMAT0005880	12
Endogenous1	hsa-miR-1291	MIMAT0005881	22
Endogenous1	hsa-miR-1292	MIMAT0005943	11
Endogenous1	hsa-miR-1293	MIMAT0005883	9
Endogenous1	hsa-miR-1294	MIMAT0005884	8
Endogenous1	hsa-miR-1295a	MIMAT0005885	13
Endogenous1	hsa-miR-1296	MIMAT0005794	19
Endogenous1	hsa-miR-1297	MIMAT0005886	24
Endogenous1	hsa-miR-1298	MIMAT0005800	12
Endogenous1	hsa-miR-1299	MIMAT0005887	27
Endogenous1	hsa-miR-1301	MIMAT0005797	30
Endogenous1	hsa-miR-1302	MIMAT0005890	6
Endogenous1	hsa-miR-1303	MIMAT0005891	10
Endogenous1	hsa-miR-1304-5p	MIMAT0005892	6
Endogenous1	hsa-miR-1305	MIMAT0005893	19
